"unigram","bigram","freq"
"right","now",2510
"dont","know",1970
"cant","wait",1908
"new","york",1844
"last","year",1832
"last","night",1538
"high","school",1409
"feel","like",1400
"im","going",1388
"years","ago",1375
"last","week",1264
"first","time",1207
"looking","forward",1189
"dont","want",1098
"can","get",1089
"dont","think",1049
"im","sure",1042
"make","sure",1001
"even","though",990
"looks","like",987
"st","louis",932
"happy","birthday",871
"new","jersey",853
"just","got",843
"good","morning",810
"united","states",803
"let","know",795
"next","week",783
"every","day",775
"one","day",753
"two","years",717
"los","angeles",715
"can","see",705
"mothers","day",668
"good","luck",667
"im","just",664
"next","year",657
"look","like",652
"just","like",650
"dont","like",631
"san","francisco",627
"thanks","follow",618
"social","media",617
"long","time",616
"one","thing",614
"dont","get",608
"will","get",607
"every","time",593
"can","make",585
"didnt","know",575
"get","back",569
"sounds","like",563
"go","back",559
"little","bit",554
"come","back",550
"follow","back",549
"many","people",542
"will","never",531
"last","month",520
"san","diego",514
"next","time",503
"im","gonna",500
"two","weeks",485
"now","im",483
"will","take",481
"three","years",480
"pretty","much",469
"great","day",468
"can","help",467
"will","make",467
"im","still",464
"dont","forget",462
"just","one",462
"lets","go",455
"wait","see",435
