"unigram","bigram","trigram","quadgram","freq"
"martin","luther","king","jr",42
"dow","jones","industrial","average",41
"g","fat","g","saturated",40
"g","protein","g","carbohydrate",38
"cake","cake","cake","cake",37
"protein","g","carbohydrate","g",37
"just","finished","mi","run",27
"happy","mothers","day","moms",26
"house","speaker","john","boehner",26
"let","us","know","think",26
"calories","g","protein","g",24
"g","carbohydrate","g","fat",24
"incorporated","item","c","pp",24
"mg","cholesterol","mg","sodium",24
"new","york","new","jersey",24
"per","serving","calories","g",24
"advertising","fees","advertising","linking",23
"advertising","linking","amazoncom","amazonca",23
"amazon","eu","associates","programmes",23
"amazon","eu","content","provided",23
"amazon","services","llc","amazon",23
"amazon","services","llc","andor",23
"amazonca","amazoncouk","amazonde","amazonfr",23
"amazoncom","amazonca","amazoncouk","amazonde",23
"amazoncouk","amazonde","amazonfr","amazonit",23
"amazonde","amazonfr","amazonit","amazones",23
"amazones","certain","content","appears",23
"amazonfr","amazonit","amazones","certain",23
"amazonit","amazones","certain","content",23
"andor","amazon","eu","content",23
"appears","website","comes","amazon",23
"associates","programmes","designed","provide",23
"centers","disease","control","prevention",23
"certain","content","appears","website",23
"comes","amazon","services","llc",23
"content","appears","website","comes",23
"content","provided","subject","change",23
"designed","provide","means","sites",23
"earn","advertising","fees","advertising",23
"eu","associates","programmes","designed",23
"eu","content","provided","subject",23
"fees","advertising","linking","amazoncom",23
"linking","amazoncom","amazonca","amazoncouk",23
"llc","amazon","eu","associates",23
"llc","andor","amazon","eu",23
"means","sites","earn","advertising",23
"participant","amazon","services","llc",23
"please","let","us","know",23
"programmes","designed","provide","means",23
"provide","means","sites","earn",23
"provided","subject","change","removal",23
"services","llc","amazon","eu",23
"services","llc","andor","amazon",23
"sites","earn","advertising","fees",23
"subject","change","removal","time",23
"website","comes","amazon","services",23
"rock","roll","hall","fame",22
"saturated","mg","cholesterol","mg",22
"carbohydrate","g","fat","g",21
"new","york","stock","exchange",21
"president","george","w","bush",21
"calories","g","fat","g",20
"case","western","reserve","university",20
"fat","g","saturated","mg",20
"g","saturated","mg","cholesterol",20
"happy","new","year","everyone",20
"let","us","know","can",20
"vice","president","joe","biden",20
