"unigram","bigram","trigram","freq"
"cant","wait","see",351
"happy","mothers","day",318
"let","us","know",237
"new","york","city",233
"happy","new","year",199
"im","pretty","sure",171
"two","years","ago",155
"president","barack","obama",144
"feel","like","im",142
"world","war","ii",126
"new","york","times",124
"dont","even","know",122
"first","time","since",104
"looking","forward","seeing",104
"cinco","de","mayo",101
"st","louis","county",101
"im","looking","forward",98
"cant","wait","get",97
"gov","chris","christie",88
"dont","feel","like",87
"three","years","ago",84
"ive","ever","seen",82
"two","weeks","ago",80
"cant","wait","till",79
"new","years","eve",79
"rock","n","roll",76
"will","take","place",74
"im","sure","will",73
"st","patricks","day",73
"dont","get","wrong",72
"ive","never","seen",72
"right","now","im",72
"four","years","ago",70
"past","two","years",69
"martin","luther","king",68
"five","years","ago",66
"didnt","even","know",65
"happy","valentines","day",65
"just","got","back",62
"cant","wait","hear",61
"think","im","going",61
"love","love","love",60
"please","let","know",60
"couple","years","ago",58
"george","w","bush",57
"really","looking","forward",57
"just","got","home",56
"lets","just","say",56
"us","district","judge",56
"chief","financial","officer",55
"couple","weeks","ago",55
"im","going","go",55
"come","see","us",54
"dont","think","can",54
"keep","good","work",54
"long","time","ago",54
"wall","street","journal",54
"hope","everyone","great",53
"look","forward","seeing",53
"makes","feel","like",53
"st","charles","county",53
"dont","know","im",50
"high","school","students",50
"superior","court","judge",50
"county","prosecutors","office",49
"dreams","come","true",49
"let","know","think",49
"good","morning","everyone",48
"chief","executive","officer",47
"dont","want","go",47
"ill","let","know",47
"im","going","try",47
"just","let","know",47
"osama","bin","laden",47
"us","district","court",47
"want","make","sure",47
"world","trade","center",47
"county","sheriffs","office",46
"g","protein","g",46
"us","supreme","court",46
"follow","back","please",45
"spend","much","time",45
"new","york","ny",44
"please","follow","back",44
"dow","jones","industrial",43
"g","fat","g",43
"luther","king","jr",43
"president","barack","obamas",43
"spent","lot","time",43
"told","associated","press",43
